category,Resto_name,Dishes_one,Dishes_two,Dishes_three,Dishes_four,Dishes_five,Dishes_six,Dishes_seven,Dishes_eight,Dishes_nine,Dishes_ten,locality_verbose
Filipino,#Hashtag City Resto Bar,Sisig, Crispy Pata, Adobo, Kare-Kare, Lechon Kawali, Bulalo, Sinigang, Pancit Canton, Chicken Inasal, Halo-Halo,"Old Balara, Quezon City"
Coffee,% Arabica,Espresso, Cappuccino, Latte, Americano, Mocha, Macchiato, Flat White, Cold Brew, Affogato, Turkish Coffee,"Bonifacio Global City, Taguig City"
Asian Chinese,101 Hawker Food House,Hainanese Chicken Rice, Char Kway Teow, Bak Kut Teh, Laksa, Rojak, Satay, Oyster Omelette, Nasi Lemak, Hokkien Mee, Mee Goreng,"Legaspi Village, Makati City"
Asian Chinese,101 Hawker Food House,Hainanese Chicken Rice, Char Kway Teow, Bak Kut Teh, Laksa, Rojak, Satay, Oyster Omelette, Nasi Lemak, Hokkien Mee, Mee Goreng,"Legaspi Village, Makati City"
Finger Food,1018 Bar,Chicken Wings, Nachos, Onion Rings, Potato Wedges, Buffalo Chicken Dip, Mozzarella Sticks, Quesadillas, Spring Rolls, Loaded Fries, Jalapeno Poppers,"Valenzuela, Makati City"
Filipino,121,Sinigang, Kare-Kare, Crispy Pata, Adobo, Lechon Kawali, Bulalo, Sisig, Chicken Inasal, Pancit Canton, Halo-Halo,"Eastwood Citywalk 1, Libis, Quezon City, Quezon City"
Filipino,121,Sinigang, Kare-Kare, Crispy Pata, Adobo, Lechon Kawali, Bulalo, Sisig, Chicken Inasal, Pancit Canton, Halo-Halo,"Venice Piazza, McKinley Hill, Taguig City, Taguig City"
Filipino,121,Sinigang, Kare-Kare, Crispy Pata, Adobo, Lechon Kawali, Bulalo, Sisig, Chicken Inasal, Pancit Canton, Halo-Halo,"Salcedo Village, Makati City"
Filipino,121,Sinigang, Kare-Kare, Crispy Pata, Adobo, Lechon Kawali, Bulalo, Sisig, Chicken Inasal, Pancit Canton, Halo-Halo,"BGC Stopover Pavilion, Bonifacio Global City, Taguig City, Taguig City"
Filipino,121,Sinigang, Kare-Kare, Crispy Pata, Adobo, Lechon Kawali, Bulalo, Sisig, Chicken Inasal, Pancit Canton, Halo-Halo,"Allegro Centre, Magallanes, Makati City, Makati City"
International Filipino,13 Ubay St. Comfort Dining,Crispy Pata, Kare-Kare, Adobo, Sinigang, Lechon Kawali, Bicol Express, Bulalo, Pancit Canton, Chicken Inasal, Halo-Halo,"Banawe, Quezon City"
American Filipino,18 West Bistro & Bar Restaurant,Baby Back Ribs, Crispy Pata, Chicken Inasal, Sisig, Adobo, Kare-Kare, Bulalo, Pancit Canton, Sinigang, Halo-Halo,"West Triangle, Quezon City"
Filipino,1898 Bistro,Crispy Pata, Kare-Kare, Adobo, Sinigang, Lechon Kawali, Bulalo, Sisig, Chicken Inasal, Pancit Canton, Halo-Halo,"BF Homes, ParaÃ±aque City"
Korean,1970 Grill,Samgyeopsal, Bulgogi, Kimchi Jjigae, Japchae, Tteokbokki, Galbi, Bibimbap, Sundubu Jjigae, Korean Fried Chicken, Haemul Pajeon,"Tomas Morato, Quezon City"
French International,210Â° Kitchen + Drinkery,Steak, Chicken Cordon Bleu, Duck Confit, Ratatouille, Escargot, Bouillabaisse, Beef Bourguignon, Coq au Vin, Foie Gras, CrÃ¨me BrÃ»lÃ©e,"Bonifacio Global City, Taguig City"
American Steak,22 Prime - Discovery Suites,Steak, Ribeye, Filet Mignon, T-Bone, Porterhouse, Wagyu Beef, Grilled Chicken, Grilled Fish, Lamb Chops, Caesar Salad,"Discovery Suites, Ortigas, Pasig City, Pasig City"
